"ID番号","pt0503","眼","開眼"
"氏名","おもり","姿勢","立位"
"性別","男","病名","正常"
"年齢","18.00","メモ",
"身長(cm)","177.00","検査者",
"体重(kg)","20.00"
"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
1.520,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.530,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.540,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.550,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.560,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.570,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.580,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.590,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.600,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.610,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.620,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.630,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.640,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.650,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.660,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.670,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.680,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.690,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.700,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.710,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.720,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.730,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.740,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.750,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.760,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.770,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.780,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.790,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.800,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.810,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.820,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.830,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.840,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.850,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.860,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.870,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.880,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.890,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.900,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.910,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.920,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.930,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.940,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.950,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.960,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.970,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.980,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
1.990,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.000,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.010,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.020,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.030,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.040,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.050,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.060,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.070,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.080,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.090,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.100,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.110,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.120,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.130,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.140,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.150,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.160,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.170,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.180,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.190,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.200,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.210,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.220,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.230,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.240,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.250,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.260,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.270,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.280,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.290,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.300,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.310,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.320,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.330,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.340,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.350,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.360,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.370,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.380,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.390,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.400,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.410,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.420,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.430,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.440,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.450,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.460,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.470,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.480,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.490,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.500,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.510,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.520,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.530,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.540,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.550,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.560,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.570,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.580,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.590,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.600,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.610,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.620,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.630,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.640,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.650,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.660,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.670,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.680,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.690,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.700,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.710,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.720,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.730,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.740,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.750,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.760,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.770,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.780,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.790,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.800,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.810,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.820,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.830,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.840,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.850,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.860,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.870,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.880,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.890,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.900,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.910,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.920,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.930,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.940,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.950,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.960,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.970,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.980,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
2.990,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
3.000,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
3.010,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
3.020,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
3.030,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
3.040,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
